DATE,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED,TAUX RED,MT RED,PTTC
2023-12-11,TAXI,A,1,0,1,0,4900,0,0,0.081633,0,4900
2023-12-11,V.PERSONEL,B,1,0,1,0,17900,0,0,0.050279,0,17900
2023-12-11,PICK-UP,B1,1,0,1,0,15500,0,0,0.032258,0,15500
2023-12-11,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-11,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-16,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-16,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-16,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-16,GRAND-BUS,C,1,0,1,0,19080,0,0,0.032258,0,19080
2023-12-16,CAMIONS,D,1,0,1,0,26235,0,0,0.047075,0,26235
2023-12-19,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-19,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-19,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-19,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-19,CAMIONS,D,1,0,1,0,26235,0,0,0.047075,0,26235
2023-12-20,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-20,V.PERSONEL,B,2,0,2,0,17900,0,0,0.050279,0,35800
2023-12-20,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-20,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-20,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-20,CAMIONS,D,0,0,0,0,26235,0,0,0.047075,0,0
2023-12-21,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-21,V.PERSONEL,B,2,0,2,0,17900,0,0,0.050279,0,35800
2023-12-21,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-21,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-21,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-21,CAMIONS,D,0,0,0,0,26235,0,0,0.047075,0,0
2023-12-22,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-22,V.PERSONEL,B,3,0,3,0,17900,0,0,0.050279,0,53700
2023-12-22,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-22,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-22,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-22,CAMIONS,D,0,0,0,0,26235,0,0,0.047075,0,0
2023-12-27,TAXI,A,2,0,2,0,4900,0,0,0.081633,0,9800
2023-12-27,V.PERSONEL,B,0,0,0,0,17900,0,0,0.050279,0,0
2023-12-27,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-27,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-27,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-27,CAMIONS,D,0,0,0,0,26235,0,0,0.047075,0,0
2023-12-28,TAXI,A,1,0,1,0,4900,0,0,0.081633,0,4900
2023-12-28,V.PERSONEL,B,1,0,1,0,17900,0,0,0.050279,0,17900
2023-12-28,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-28,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-28,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-28,CAMIONS,D,0,0,0,0,26235,0,0,0.047075,0,0
2023-12-29,TAXI,A,1,0,1,0,4900,0,0,0.081633,0,4900
2023-12-29,V.PERSONEL,B,0,0,0,0,17900,0,0,0.050279,0,0
2023-12-29,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-29,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-29,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-29,CAMIONS,D,1,0,1,0,26235,0,0,0.047075,0,26235
2023-12-30,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2023-12-30,V.PERSONEL,B,0,0,0,0,17900,0,0,0.050279,0,0
2023-12-30,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2023-12-30,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2023-12-30,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2023-12-30,CAMIONS,D,1,0,1,0,26235,0,0,0.047075,0,26235
