DATE,TYPES,CAT,0,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
4/1/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,2,5.03%," 1,800   "," 34,000   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,3,4.71%," 3,705   "," 127,470   "
4/4/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,2,0,2,0,17900,0,1,5.03%, 900   ," 34,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,6,0,6,0,26235,0,2,4.71%," 2,470   "," 154,940   "
4/5/2024,TAXI,A,1,0,1,0,4900,0,1,8.16%, 400   ," 4,500   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,1,4.71%," 1,235   "," 103,705   "
4/8/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,2,0,2,0,15500,0,1,3.23%, 500   ," 30,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,4,4.71%," 4,940   "," 126,235   "
4/9/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
4/9/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,6,0,6,0,26235,0,1,4.71%," 1,235   "," 156,175   "
4/11/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
4/12/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,3,0,3,0,17900,0,2,5.03%," 1,800   "," 51,900   "
,PICK-UP,B1,2,0,2,0,15500,0,1,3.23%, 500   ," 30,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
4/15/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
4/16/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,2,4.71%," 2,470   "," 76,235   "
4/17/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
4/18/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,7,0,7,0,26235,0,4,4.71%," 4,940   "," 178,705   "
4/19/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,0,4.71%, -     ," 78,705   "
4/20/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,2,5.03%," 1,800   "," 34,000   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,3.23%, -     , -     
