,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
12/11/2023,TAXI,A,1,0,1,0,4900,0,0,8.16%, -     ," 4,900   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
12/16/2023,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,1,0,1,0,19080,0,0,3.23%, -     ," 19,080   "
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
12/19/2023,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
12/20/2023,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
12/21/2023,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
12/22/2023,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,0,5.03%, -     ," 53,700   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
