,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
1/2/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
1/8/2024,TAXI,A,1,0,1,0,4900,0,1,8.16%, 400   ," 4,500   "
,V.PERSONEL,B,3,0,3,0,17900,0,1,5.03%, 900   ," 52,800   "
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
1/9/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
1/10/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,1,0,1,0,19080,0,0,3.23%, -     ," 19,080   "
,CAMIONS,D,4,0,4,0,26235,0,0,4.71%, -     ," 104,940   "
1/11/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
1/12/2024,TAXI,A,1,0,1,0,4900,0,0,8.16%, -     ," 4,900   "
,V.PERSONEL,B,4,0,4,0,17900,0,3,5.03%," 2,700   "," 68,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,,0,0,0,26235,0,0,4.71%, -     , -     
1/13/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,2,5.03%," 1,800   "," 51,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,0,4.71%, -     ," 104,940   "
1/15/2024,TAXI,A,1,0,1,0,4900,0,1,8.16%, 400   ," 4,500   "
,V.PERSONEL,B,3,0,3,0,17900,0,3,5.03%," 2,700   "," 51,000   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
1/16/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,3,5.03%," 2,700   "," 51,000   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
1/17/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,2,5.03%," 1,800   "," 34,000   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
1/18/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,0,5.03%, -     ," 71,600   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,2,4.71%," 2,470   "," 50,000   "
1/19/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
1/20/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,0,5.03%, -     ," 71,600   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
1/22/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,0,5.03%, -     ," 53,700   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
1/23/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,2,0,2,0,17900,0,1,5.03%, 900   ," 34,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
1/24/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,1,5.03%, 900   ," 70,700   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,1,4.71%," 1,235   "," 51,235   "
1/25/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,1,4.71%," 1,235   "," 51,235   "
1/26/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,3,4.71%," 3,705   "," 75,000   "
1/27/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
,,PAYE D' AVANCE   ( B),1,,,,,,,,,
1/29/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,,3.23%,, -     
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,2,4.71%," 2,470   "," 50,000   "
1/30/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,3,0,3,0,15500,0,1,3.23%, 500   ," 46,000   "
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,3,4.71%," 3,705   "," 101,235   "
1/31/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,,3.23%, -     ," 15,500   "
,MINI-BUS,C,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,,4.71%, -     , -     
