DATE,TYPES,CAT,0,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
6/1/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,,4.71%, -     ," 52,470   "
6/3/2024,TAXI,A,4,0,4,0,4900,0,3,8.16%," 1,200   "," 18,400   "
,V.PERSONEL,B,4,0,4,0,17900,0,1,5.03%, 900   ," 70,700   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,7,0,7,0,26235,0,2,4.71%," 2,470   "," 181,175   "
6/4/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,1,4.71%," 1,235   "," 103,705   "
6/5/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,5,0,5,0,17900,0,3,5.03%," 2,700   "," 86,800   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,2,4.71%," 2,470   "," 128,705   "
6/6/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,2,5.03%," 1,800   "," 51,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,2,4.71%," 2,470   "," 128,705   "
6/7/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,0,4.71%, -     ," 104,940   "
6/8/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,1,5.03%, 900   ," 34,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
6/10/2024,TAXI,A,1,0,1,0,4900,0,1,8.16%, 400   ," 4,500   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
6/11/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,8,0,8,0,26235,0,2,4.71%," 2,470   "," 207,410   "
6/12/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,0,4.71%, -     ," 78,705   "
6/13/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,2,0,2,0,15500,0,,3.23%, -     ," 31,000   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
6/14/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,0,5.03%, -     ," 71,600   "
,PICK-UP,B1,,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,0,4.71%, -     ," 78,705   "
