DATE,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
3/1/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,2,0,2,0,17900,0,1,5.03%, 900   ," 34,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
3/2/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,2,5.03%," 1,800   "," 34,000   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,3,4.71%," 3,705   "," 127,470   "
3/4/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,3,5.03%," 2,700   "," 68,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,2,4.71%," 2,470   "," 76,235   "
3/18/2024,TAXI,A,2,0,2,0,4900,0,2,8.16%, 800   ," 9,000   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,2,4.71%," 2,470   "," 128,705   "
3/19/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,0,4.71%, -     ," 26,235   "
3/20/2024,TAXI,A,4,0,4,0,4900,0,2,8.16%, 800   ," 18,800   "
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,1,0,1,0,15500,0,,3.23%, -     ," 15,500   "
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
3/21/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,1,0,1,0,,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
3/22/2024,TAXI,A,2,0,2,0,4900,0,,8.16%, -     ," 9,800   "
,V.PERSONEL,B,3,0,3,0,17900,0,1,5.03%, 900   ," 52,800   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,2,4.71%," 2,470   "," 102,470   "
3/23/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,3,0,3,0,17900,0,1,5.03%, 900   ," 52,800   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,1,0,1,0,26235,0,1,4.71%," 1,235   "," 25,000   "
3/25/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,2,5.03%," 1,800   "," 51,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,7,0,7,0,26235,0,3,4.71%," 3,705   "," 179,940   "
3/26/2024,TAXI,A,,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,4,0,4,0,17900,0,2,5.03%," 1,800   "," 69,800   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,1,4.71%," 1,235   "," 51,235   "
3/27/2024,TAXI,A,1,0,1,0,4900,0,1,8.16%, 400   ," 4,500   "
,V.PERSONEL,B,2,0,2,0,17900,0,1,5.03%, 900   ," 34,900   "
,PICK-UP,B1,2,0,2,0,15500,0,0,3.23%, -     ," 31,000   "
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,3,4.71%," 3,705   "," 127,470   "
3/28/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,0,0,0,0,15500,0,,3.23%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
