,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
10/1/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,,0,0,0,15500,0,,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,8,0,8,0,26235,0,3,4.71%," 3,705   "," 206,175   "
10/2/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,1,5.03%, 900   ," 17,000   "
,PICK-UP,B1,1,0,1,0,15500,0,,3.23%, -     ," 15,500   "
,MINI-BUS,C,1,0,1,0,15500,0,0,5.24%, -     ," 15,500   "
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,2,0,2,0,26235,0,0,4.71%, -     ," 52,470   "
10/3/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,0,0,0,0,15500,0,,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,5,0,5,0,26235,0,1,4.71%," 1,235   "," 129,940   "
10/4/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,8,0,8,0,26235,0,2,4.71%," 2,470   "," 207,410   "
10/5/2024,TAXI,A,0,0,0,0,4900,0,,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,4,0,4,0,26235,0,0,4.71%, -     ," 104,940   "
10/6/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,1,0,1,0,17900,0,,5.03%, -     ," 17,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
10/7/2024,TAXI,A,1,0,1,0,4900,0,,8.16%, -     ," 4,900   "
,V.PERSONEL,B,1,0,1,0,17900,0,,5.03%, -     ," 17,900   "
,PICK-UP,B1,,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,3,0,3,0,26235,0,1,4.71%," 1,235   "," 77,470   "
