DATE,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED ,TAUX RED,MT RED ,PTTC
9/2/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,3,0,3,0,17900,0,0,5.03%, -     ," 53,700   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
9/3/2024,TAXI,A,1,0,1,0,4900,0,0,8.16%, -     ," 4,900   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
9/3/2024,TAXI,A,1,0,1,0,4900,0,0,8.16%, -     ," 4,900   "
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,1,0,1,0,15500,0,0,3.23%, -     ," 15,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,0,0,0,0,26235,0,0,4.71%, -     , -     
9/4/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,2,0,2,0,17900,0,0,5.03%, -     ," 35,800   "
,PICK-UP,B1,0,0,0,0,15500,0,0,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,6,0,6,0,26235,0,1,4.71%, 500   ," 156,910   "
9/5/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,2,0,2,0,15500,0,1,3.23%, 500   ," 30,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,6,0,6,0,26235,0,3,4.71%," 3,735   "," 153,675   "
9/6/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,1,0,1,0,15500,0,1,3.23%, 500   ," 15,000   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,6,0,6,0,26235,0,,4.71%,," 157,410   "
9/7/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,0,0,0,0,17900,0,0,5.03%, -     , -     
,PICK-UP,B1,,0,0,0,15500,0,,3.23%, -     , -     
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
,CAMIONS,D,,0,0,0,26235,0,,4.71%,, -     
9/9/2024,TAXI,A,0,0,0,0,4900,0,0,8.16%, -     , -     
,V.PERSONEL,B,1,0,1,0,17900,0,0,5.03%, -     ," 17,900   "
,PICK-UP,B1,3,0,3,0,15500,0,,3.23%, -     ," 46,500   "
,MINI-BUS,C,0,0,0,0,15500,0,0,5.24%, -     , -     
,GRAND-BUS,C,0,0,0,0,19080,0,0,3.23%, -     , -     
